id,title,authors,description,content_url,lab_id,lab_name,published
,Affordable Housing Policy and Neighborhood Stabilization in Post-Industrial Cities,Maria Delgado|Samuel Okafor,"This study examines the effectiveness of affordable housing policies in stabilizing neighborhoods undergoing economic decline in post-industrial urban areas. Using panel data from twelve northeastern cities, we find that inclusionary zoning combined with community land trusts significantly reduces displacement of low-income residents.",,jO2cyfaSa0LCICAmmchW,Housing & Urban Development Lab,2022-04-10
,Gentrification Displacement and Community Land Trusts: A Rhode Island Case Study,Maria Delgado|Priya Nair,"This paper investigates how community land trusts function as anti-displacement tools in Rhode Island neighborhoods experiencing rapid gentrification. Findings show that CLT properties maintained affordability across market cycles while preserving resident tenure and neighborhood social cohesion.",,jO2cyfaSa0LCICAmmchW,Housing & Urban Development Lab,2023-09-18
,Rent Burden and Housing Insecurity Among Low-Income Renters in New England,Samuel Okafor|Thomas Wren,"This study analyzes rent burden trends among low-income renters across New England using American Community Survey data from 2010 to 2022. Results indicate that housing cost-burdened households face significantly higher rates of food insecurity, healthcare avoidance, and residential mobility.",,jO2cyfaSa0LCICAmmchW,Housing & Urban Development Lab,2024-02-05
,Income Volatility and Asset-Building Among Working Families,James Owusu|Claire Fontaine,"This research examines how income volatility affects the capacity of working-class families to accumulate financial assets and build long-term economic stability. Using longitudinal survey data, we find that households with high earnings variability are significantly less likely to maintain emergency savings or contribute to retirement accounts.",,Fp7msCA9rdTPvAcz9sKf,Economic Inequality Research Lab,2021-11-30
,Racial Wealth Gap Trends in the United States 2000-2020,Claire Fontaine|Angela Reyes,"This paper tracks the evolution of the racial wealth gap between Black, Hispanic, and white households over two decades using Survey of Consumer Finances data. We document persistent and widening disparities in net worth attributable to differential homeownership rates, inheritance, and access to financial markets.",,Fp7msCA9rdTPvAcz9sKf,Economic Inequality Research Lab,2023-06-14
,Social Network Analysis of Political Polarization on Social Media,Wei Zhang|Oscar Bernstein,"This study applies network analysis techniques to large-scale social media data to examine structural patterns of political polarization across ideological communities. Results reveal increasing cross-partisan link scarcity and the emergence of echo chambers that limit exposure to opposing viewpoints.",,KFlL3y67Oedjs0CoWHV9,Computational Social Science Lab,2022-08-22
,Large-Scale Analysis of Online Misinformation Propagation,Wei Zhang|Fatima Al-Hassan,"This research analyzes the spread dynamics of health and political misinformation across social media platforms using a dataset of over 50 million posts. We identify structural features of early-adopter networks and platform affordances that predict viral misinformation cascades.",,KFlL3y67Oedjs0CoWHV9,Computational Social Science Lab,2023-03-07
,Machine Learning Approaches to Survey Non-Response Bias Correction,Oscar Bernstein|Nina Kowalski,"This paper evaluates multiple machine learning algorithms for correcting non-response bias in large-scale social surveys. Gradient boosting and neural network post-stratification approaches outperform traditional raking and propensity weighting methods, especially for subgroup estimation.",,KFlL3y67Oedjs0CoWHV9,Computational Social Science Lab,2024-01-19
,Topic Modeling Nineteenth Century American Periodicals,Helena Voss|David Kim,"This study applies latent Dirichlet allocation and neural topic models to a corpus of 19th-century American periodical literature to reveal evolving cultural and political discourse patterns. Results document how themes of industrialization, immigration, and racial politics shifted across decades in the popular press.",,m5mOYnf59l6Aaf3edy46,Digital Humanities Lab,2021-05-11
,Digital Archive and Visualization of Indigenous Land Records,Helena Voss|Carlos Morales,"This project develops a digital archive and geospatial visualization platform for historical indigenous land records held across multiple New England repositories. The system enables researchers and tribal communities to access, annotate, and contextualize colonial-era land conveyance documents.",,m5mOYnf59l6Aaf3edy46,Digital Humanities Lab,2023-10-29
,Zoning Reform and Housing Supply: Evidence from Rhode Island Municipalities,Leon Farber|Theresa Nguyen,"This study examines the effects of zoning liberalization on housing construction in Rhode Island municipalities using a difference-in-differences design. We find that upzoning near transit corridors and town centers produces measurable increases in multifamily building permits within three years of reform.",,t9vUjCUDW6O1CUYrrOCd,Urban Policy Analysis Lab,2022-07-03
,Transit-Oriented Development and Equity in Small Metro Regions,Leon Farber|Marcus Webb,"This paper investigates whether transit-oriented development in smaller metropolitan areas produces equitable access to affordable housing, employment, and services for low-income residents. Using case studies from four New England metro areas, we identify design and policy conditions that promote inclusive TOD outcomes.",,t9vUjCUDW6O1CUYrrOCd,Urban Policy Analysis Lab,2023-11-17
